alpha,error,low,high,ssp,nuc_type,pop,allele_frequency
0.18017763442820903,0.02857384208477942,0.127855980525485,0.24009672528832718,Teo,WS,Teo_Amatlan_de_Canas,1
0.17683460146622243,0.024461203053275163,0.13201604521869623,0.22803024810267955,Teo,All,Teo_Crucero_Lagunitas,1
0.1658878602755739,0.027020950586721267,0.11660544435126857,0.22272015930368308,Teo,SS_WW,Teo_Crucero_Lagunitas,1
0.21073286834817953,0.030860348844914547,0.15406048291149832,0.27703929218143647,Teo,SW,Teo_Crucero_Lagunitas,1
0.2034085883795061,0.028201295935352543,0.15031774376311088,0.26254973207872473,Teo,WS,Teo_Crucero_Lagunitas,1
0.1311696965306744,0.023600264570870052,0.08727973343286047,0.17959537185584043,Teo,All,Teo_El_Rodeo,1
0.12493108775279202,0.025353367249788063,0.07607866043042105,0.17420839454210432,Teo,SS_WW,Teo_El_Rodeo,1
0.172661091254734,0.029100075254654686,0.11664434001405447,0.2318063529009738,Teo,SW,Teo_El_Rodeo,1
0.14610662871776894,0.02784271915822115,0.0905416303645026,0.2014739553283849,Teo,WS,Teo_El_Rodeo,1
0.2816556883035288,0.026015572325378586,0.2307791269393271,0.3312594337822884,Teo,All,Teo_Los_Guajes,1
0.25002592672723795,0.028589917132372685,0.1960971583007823,0.30790252822346004,Teo,SS_WW,Teo_Los_Guajes,1
0.28862391336997706,0.03355234520750705,0.22692215474050323,0.3588261174765179,Teo,SW,Teo_Los_Guajes,1
0.3505576489195974,0.029939820609391966,0.2917278220986333,0.40887813426758246,Teo,WS,Teo_Los_Guajes,1
0.35070349221967184,0.02696705626129179,0.2980274309890717,0.40349150613167095,Teo,All,Teo_Palmar_Chico,1
0.29183054801207275,0.027974890752153387,0.23847905615269727,0.3461803469034408,Teo,SS_WW,Teo_Palmar_Chico,1
0.324379092433454,0.031079354446650623,0.2661573405357605,0.3874571961664236,Teo,SW,Teo_Palmar_Chico,1
0.47060772593839706,0.0315260479586015,0.41009256829546875,0.5332568878524877,Teo,WS,Teo_Palmar_Chico,1
0.2625457358733702,0.027900174149438583,0.20745921818519905,0.31697786921947557,Teo,All,Teo_random,1
0.23053632525724524,0.029233578040713762,0.17345249839414675,0.2880009137168492,Teo,SS_WW,Teo_random,1
0.26788604072379896,0.034515870154916035,0.20030438315001567,0.33553147464155486,Teo,SW,Teo_random,1
0.33189237719981296,0.031826343712459376,0.2680406356674639,0.39499443026931425,Teo,WS,Teo_random,1
0.28238414863654066,0.02624195491755427,0.23032096292957874,0.3333440053321627,Teo,All,Teo_random1_Palmar_Chico,1
0.2471242888886962,0.02771112582300433,0.19352572129012097,0.3032668851493433,Teo,SS_WW,Teo_random1_Palmar_Chico,1
0.2850849218263386,0.03237150553910712,0.22331499555604434,0.35111294376055135,Teo,SW,Teo_random1_Palmar_Chico,1
0.3576219312095719,0.029806013539473646,0.29772407033014703,0.41587319496582015,Teo,WS,Teo_random1_Palmar_Chico,1
0.2700006478941809,0.0252857998003219,0.22054042130291776,0.31959171032384587,Teo,All,Teo_random2_Palmar_Chico,1
0.2364744788190091,0.02715465857476099,0.18354273430660928,0.29097462105187416,Teo,SS_WW,Teo_random2_Palmar_Chico,1
0.27543825513225345,0.03188547446176083,0.2147127409178155,0.3403903195956038,Teo,SW,Teo_random2_Palmar_Chico,1
